seq_unique,seq_name,L1_annotation,c_call,sample_clean_fol,L1_annotation_int,c_call_int,sample_clean_fol_int
seq3336,sequence_7249,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3337,sequence_7251,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3338,sequence_7255:sequence_7317:sequence_7446:sequence_7449:sequence_7473:sequence_7623:sequence_7891:sequence_7902:sequence_7968,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-34,1,12,88
seq3339,sequence_7256,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq334,sequence_496:sequence_532:sequence_574,GC_B_cells,IGHG3:IGHG1,HH119-SI-MILF,1,21,4
seq3340,sequence_7258,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3341,sequence_7259,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3342,sequence_7260,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3343,sequence_7261,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3344,sequence_7264:sequence_7745,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3345,sequence_7265:sequence_7544:sequence_7554,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-34,1,12,88
seq3346,sequence_7269,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3347,sequence_7270,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3348,sequence_7271,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3349,sequence_7272:sequence_7523:sequence_7671:sequence_7694:sequence_7925,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq335,sequence_499,GC_B_cells,IGHM,HH119-SI-MILF,1,24,4
seq3350,sequence_7273,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3351,sequence_7274:sequence_7398:sequence_7490:sequence_7797,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3352,sequence_7275,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3353,sequence_7276:sequence_7309,Memory_Bcells:GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,7,6,88
seq3354,sequence_7278:sequence_7330,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3355,sequence_7280,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3356,sequence_7281:sequence_7960,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3357,sequence_7284:sequence_7340:sequence_7955,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3358,sequence_7287,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3359,sequence_7289,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq336,sequence_501,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
