"seq_unique","PCs","NA"
"seq3535",0,1
"seq3536",0,4
"seq3537",0,1
"seq3538",0,1
"seq3539",0,1
"seq354",0,1
"seq3540",0,1
"seq3541",0,1
"seq3542",0,1
"seq3543",0,1
"seq3544",0,1
"seq3545",0,1
"seq3546",0,1
"seq3547",0,1
"seq3548",0,1
"seq3549",0,2
"seq355",0,1
"seq3550",0,1
"seq3551",0,2
"seq3552",0,1
"seq3553",0,1
"seq3554",0,1
"seq3555",0,1
"seq3556",0,1
"seq3557",0,3
"seq3558",0,1
"seq3559",0,1
"seq356",0,1
"seq3560",0,1
"seq3561",0,1
"seq3562",0,1
"seq3563",0,2
"seq3564",0,1
"seq3565",0,1
"seq3566",0,1
"seq3567",0,1
"seq3568",0,1
"seq3569",0,2
"seq357",0,1
"seq3570",0,1
"seq3571",0,1
"seq3572",0,1
"seq3573",0,1
"seq3574",0,1
"seq3575",0,1
"seq3576",0,1
"seq3577",0,1
"seq3578",0,2
"seq3579",0,1
"seq358",0,2
"seq3580",0,2
"seq3581",0,1
"seq3582",0,1
"seq3583",0,1
"seq3584",0,1
"seq3585",0,1
"seq3586",0,1
"seq3587",0,1
"seq3588",0,1
"seq3589",0,1
"seq359",0,1
"seq3590",0,1
"seq3591",0,1
"seq3592",0,1
"seq3593",0,1
"seq3594",0,1
"seq3595",0,1
"seq3596",0,2
"seq3597",0,1
"seq3598",0,1
"seq3599",0,1
"seq36",1,0
"seq360",0,1
"seq3600",0,1
"seq3601",0,1
"seq3602",0,1
"seq3603",0,2
"seq3604",0,1
"seq3605",0,1
"seq3606",0,1
"seq3607",0,1
"seq3608",0,1
"seq3609",0,1
"seq361",0,1
"seq3610",0,1
"seq3611",0,1
"seq3612",0,3
"seq3613",0,1
"seq3614",0,1
"seq3615",0,1
"seq3616",0,1
"seq3617",0,1
"seq3618",0,1
"seq3619",0,1
"seq362",0,1
"seq3620",0,1
"seq3621",0,1
"seq3622",0,1
"seq3623",0,1
"seq3624",0,1
"seq3625",0,1
"seq3626",0,1
"seq3627",0,1
"seq3628",0,1
"seq3629",0,1
"seq363",0,1
"seq3630",0,1
"seq3631",0,1
"seq3632",0,1
"seq3633",0,1
"seq3634",0,1
"seq3635",0,1
"seq3636",0,1
"seq3637",0,1
"seq3638",0,1
"seq3639",0,2
"seq364",0,1
"seq3640",0,1
"seq3641",0,1
"seq3642",0,1
"seq3643",0,2
"seq3644",0,1
"seq3645",0,1
"seq3646",0,1
"seq3647",0,1
"seq3648",0,1
"seq3649",0,1
"seq365",0,1
"seq3650",0,1
"seq3651",0,2
"seq3652",0,1
"seq3653",0,1
"seq3654",0,1
"seq3655",0,1
"seq3656",0,1
"seq3657",0,1
"seq3658",0,1
"seq3659",0,1
"seq366",0,1
"seq3660",0,1
"seq3661",0,1
"seq3662",0,1
"seq3663",0,1
"seq3664",0,1
"seq3665",0,1
"seq3666",0,1
"seq3667",0,1
"seq3668",0,1
"seq3669",0,1
"seq367",0,2
"seq3670",0,1
"seq3671",0,1
"seq3672",0,1
"seq3673",0,1
"seq3674",0,1
"seq3675",0,1
"seq3676",0,1
"seq3677",0,1
"seq3678",0,1
"seq3679",0,1
"seq368",0,1
"seq3680",0,1
"seq3681",0,1
"seq3682",0,1
"seq3683",0,1
"seq3684",0,1
"seq3685",0,1
"seq3686",0,1
"seq3687",0,1
"seq3688",0,2
"seq3689",0,1
"seq369",0,1
"seq3690",0,1
"seq3691",0,1
"seq3692",0,1
"seq3693",0,1
"seq3694",0,1
"seq3695",0,1
"seq3696",0,1
"seq3697",0,1
"seq3698",0,1
"seq3699",0,1
"seq37",1,0
"seq370",0,1
"seq3700",0,1
"seq3701",0,1
"seq3702",0,1
"seq3703",0,1
"seq3704",0,1
"seq3705",0,1
"seq3706",0,1
"seq3707",0,6
"seq3708",0,1
"seq3709",0,2
"seq371",0,1
"seq3710",0,1
"seq3711",0,1
"seq3712",0,1
"seq3713",0,1
"seq3714",0,1
"seq3715",0,1
"seq3716",0,1
"seq3717",0,1
"seq3718",0,1
"seq3719",0,4
"seq372",0,1
"seq3720",0,2
"seq3721",0,1
"seq3722",0,1
"seq3723",0,1
"seq3724",0,1
"seq3725",0,3
"seq3726",0,1
"seq3727",0,1
"seq3728",0,1
"seq3729",0,1
"seq373",0,1
"seq3730",0,1
"seq3731",0,1
"seq3732",0,1
"seq3733",0,1
"seq3734",0,1
"seq3735",0,1
"seq3736",0,1
"seq3737",0,1
"seq3738",0,1
"seq3739",0,1
"seq374",0,1
"seq3740",0,1
"seq3741",0,1
"seq3742",0,3
"seq3743",0,1
"seq3744",0,2
"seq3745",0,1
"seq3746",0,2
"seq3747",0,1
"seq3748",0,3
"seq3749",0,1
"seq375",0,1
"seq3750",0,1
"seq3751",0,4
"seq3752",0,1
"seq3753",0,1
"seq3754",0,2
"seq376",0,1
"seq377",0,1
"seq378",0,1
"seq379",0,1
"seq38",1,4
"seq380",0,2
"seq381",0,1
"seq382",0,1
"seq383",0,1
"seq384",0,2
"seq385",0,1
"seq386",0,1
"seq387",0,1
"seq388",0,1
"seq389",0,1
"seq39",1,0
"seq390",0,1
"seq391",0,1
"seq392",0,1
"seq393",0,1
"seq394",0,1
"seq395",0,1
"seq396",0,1
"seq397",0,1
"seq398",0,1
"seq399",0,1
"seq4",1,0
"seq40",1,0
"seq400",0,1
"seq401",0,1
"seq402",0,1
"seq403",0,1
"seq404",0,1
"seq405",0,1
"seq406",0,1
"seq407",0,1
"seq408",0,1
"seq409",0,1
"seq41",1,0
"seq410",0,2
"seq411",0,1
"seq412",0,1
"seq413",0,1
"seq414",0,1
"seq415",0,1
"seq416",0,1
"seq417",0,1
"seq418",0,1
"seq419",0,1
"seq42",1,0
"seq420",0,1
"seq421",0,1
"seq422",0,1
"seq423",0,1
"seq424",0,1
"seq425",0,1
"seq426",0,1
"seq427",0,1
"seq428",0,1
"seq429",0,1
"seq43",1,0
"seq430",0,1
"seq431",0,1
"seq432",0,1
"seq433",0,1
"seq434",0,1
"seq435",0,1
"seq436",0,1
"seq437",0,1
"seq438",0,1
"seq439",0,1
"seq44",1,0
"seq440",0,1
"seq441",0,1
"seq442",0,1
"seq443",0,1
"seq444",0,1
"seq445",0,1
"seq446",0,1
"seq447",0,1
"seq448",0,1
"seq449",0,191
"seq45",1,0
"seq450",0,126
"seq451",0,33
"seq452",0,22
"seq453",0,1
"seq454",0,1
"seq455",0,15
"seq456",0,1
"seq457",0,27
"seq458",0,6
"seq459",0,2
"seq46",1,0
"seq460",0,3
"seq461",0,3
"seq462",0,1
"seq463",0,2
"seq464",0,1
"seq465",0,1
"seq466",0,1
"seq467",0,2
"seq468",0,1
"seq469",0,1
"seq47",1,0
"seq470",0,1
"seq471",0,17
"seq472",0,1
"seq473",0,218
"seq474",0,5
"seq475",0,1
"seq476",0,14
"seq477",0,1
"seq478",0,4
"seq479",0,1
"seq48",1,0
"seq480",0,1
"seq481",0,99
"seq482",0,3
"seq483",0,26
"seq484",0,4
"seq485",0,2
"seq486",0,1
"seq487",0,2
"seq488",0,1
"seq489",0,1
"seq49",1,1
"seq490",0,2
"seq491",0,1
"seq492",0,1
"seq493",0,98
"seq494",0,1
"seq495",0,2
"seq496",0,1
"seq497",0,1
"seq498",0,18
"seq499",0,1
"seq5",1,0
"seq50",0,1
"seq500",0,12
"seq501",0,1
"seq502",0,5
"seq503",0,1
"seq504",0,2
"seq505",0,35
"seq506",0,3
"seq507",0,1
"seq508",0,1
"seq509",0,1
"seq51",0,1
"seq510",0,8
"seq511",0,1
"seq512",0,1
"seq513",0,7
"seq514",0,1
"seq515",0,1
"seq516",0,4
"seq517",0,9
"seq518",0,3
"seq519",0,1
"seq52",0,2
"seq520",0,1
"seq521",0,1
"seq522",0,34
"seq523",0,2
"seq524",0,1
"seq525",0,5
"seq526",0,1
"seq527",0,1
"seq528",0,1
"seq529",0,1
"seq53",0,1
"seq530",0,1
"seq531",0,11
"seq532",0,11
"seq533",0,18
"seq534",0,3
"seq535",0,1
"seq536",0,3
"seq537",0,1
"seq538",0,1
"seq539",0,1
"seq54",0,1
"seq540",0,1
"seq541",0,1
"seq542",0,2
"seq543",0,1
"seq544",0,8
"seq545",0,9
"seq546",0,1
"seq547",0,1
"seq548",0,1
"seq549",0,3
"seq55",0,2
"seq550",0,1
"seq551",0,1
"seq552",0,1
"seq553",0,1
"seq554",0,5
"seq555",0,3
"seq556",0,1
"seq557",0,1
"seq558",0,3
"seq559",0,1
"seq56",0,11
"seq560",0,1
"seq561",0,1
"seq562",0,5
"seq563",0,2
"seq564",0,10
"seq565",0,2
"seq566",0,1
"seq567",0,28
"seq568",0,1
"seq569",0,2
"seq57",0,1
"seq570",0,1
"seq571",0,1
"seq572",0,5
"seq573",0,1
"seq574",0,1
"seq575",0,1
"seq576",0,1
"seq577",0,1
"seq578",0,1
"seq579",0,1
"seq58",0,1
"seq580",0,4
"seq581",0,1
"seq582",0,4
"seq583",0,1
"seq584",0,1
"seq585",0,5
"seq586",0,1
"seq587",0,1
"seq588",0,1
"seq589",0,3
"seq59",0,1
"seq590",0,3
"seq591",0,1
"seq592",0,11
"seq593",0,1
"seq594",0,5
"seq595",0,1
"seq596",0,2
"seq597",0,1
"seq598",0,1
"seq599",0,1
"seq6",1,1
"seq60",0,3
"seq600",0,22
"seq601",0,2
"seq602",0,1
"seq603",0,1
"seq604",0,2
"seq605",0,1
"seq606",0,1
"seq607",0,2
"seq608",0,1
"seq609",0,1
"seq61",0,5
"seq610",0,1
"seq611",0,1
"seq612",0,5
"seq613",0,25
"seq614",0,1
"seq615",0,1
"seq616",0,6
"seq617",0,1
"seq618",0,1
"seq619",0,1
"seq62",0,1
"seq620",0,6
"seq621",0,1
"seq622",0,1
"seq623",0,1
"seq624",0,5
"seq625",0,1
"seq626",0,1
"seq627",0,1
"seq628",0,1
"seq629",0,1
"seq63",0,3
"seq630",0,1
"seq631",0,1
"seq632",0,2
"seq633",0,2
"seq634",0,6
"seq635",0,1
"seq636",0,1
"seq637",0,1
"seq638",0,1
"seq639",0,1
"seq64",0,1
"seq640",0,1
"seq641",0,1
"seq642",0,4
"seq643",0,1
"seq644",0,1
"seq645",0,1
"seq646",0,5
"seq647",0,1
"seq648",0,3
"seq649",0,1
"seq65",0,1
"seq650",0,4
"seq651",0,5
"seq652",0,1
"seq653",0,2
"seq654",0,3
"seq655",0,2
"seq656",0,1
"seq657",0,2
"seq658",0,1
"seq659",0,1
"seq66",0,1
"seq660",0,1
"seq661",0,1
"seq662",0,2
"seq663",0,3
"seq664",0,18
"seq665",0,1
"seq666",0,6
"seq667",0,2
"seq668",0,2
"seq669",0,1
"seq67",0,16
"seq670",0,1
"seq671",0,1
"seq672",0,1
"seq673",0,7
"seq674",0,1
"seq675",0,1
"seq676",0,4
"seq677",0,1
"seq678",0,1
"seq679",0,1
"seq68",0,1
"seq680",0,1
"seq681",0,1
"seq682",0,1
"seq683",0,1
"seq684",0,2
"seq685",0,5
"seq686",0,8
"seq687",0,5
"seq688",0,1
"seq689",0,2
"seq69",0,3
"seq690",0,1
"seq691",0,1
"seq692",0,1
"seq693",0,4
"seq694",0,2
"seq695",0,3
"seq696",0,2
"seq697",0,1
"seq698",0,1
"seq699",0,1
"seq7",2,10
"seq70",0,1
"seq700",0,1
"seq701",0,1
"seq702",0,1
"seq703",0,1
"seq704",0,1
"seq705",0,1
"seq706",0,3
"seq707",0,3
"seq708",0,1
"seq709",0,5
"seq71",0,3
"seq710",0,1
"seq711",0,1
"seq712",0,1
"seq713",0,4
"seq714",0,1
"seq715",0,1
"seq716",0,3
"seq717",0,1
"seq718",0,2
"seq719",0,1
"seq72",0,14
"seq720",0,4
"seq721",0,2
"seq722",0,1
"seq723",0,7
"seq724",0,1
"seq725",0,2
"seq726",0,1
"seq727",0,1
"seq728",0,5
"seq729",0,1
"seq73",0,2
"seq730",0,4
"seq731",0,1
"seq732",0,1
"seq733",0,1
"seq734",0,16
"seq735",0,1
"seq736",0,1
"seq737",0,1
"seq738",0,1
"seq739",0,1
"seq74",0,2
"seq740",0,1
"seq741",0,2
"seq742",0,1
"seq743",0,2
"seq744",0,2
"seq745",0,1
"seq746",0,3
"seq747",0,1
"seq748",0,2
"seq749",0,1
"seq75",0,2
"seq750",0,2
"seq751",0,8
"seq752",0,9
"seq753",0,1
"seq754",0,1
"seq755",0,1
"seq756",0,7
"seq757",0,2
"seq758",0,1
"seq759",0,2
"seq76",0,1
"seq760",0,2
"seq761",0,1
"seq762",0,1
"seq763",0,3
"seq764",0,1
"seq765",0,1
"seq766",0,1
"seq767",0,1
"seq768",0,1
"seq769",0,1
"seq77",0,1
"seq770",0,1
"seq771",0,1
"seq772",0,1
"seq773",0,4
"seq774",0,2
"seq775",0,2
"seq776",0,1
"seq777",0,1
"seq778",0,1
"seq779",0,5
"seq78",0,1
"seq780",0,2
"seq781",0,1
"seq782",0,1
"seq783",0,3
"seq784",0,1
"seq785",0,2
"seq786",0,1
"seq787",0,1
"seq788",0,1
"seq789",0,1
"seq79",0,1
"seq790",0,3
"seq791",0,2
"seq792",0,1
"seq793",0,2
"seq794",0,1
"seq795",0,1
"seq796",0,1
"seq797",0,1
"seq798",0,1
"seq799",0,1
"seq8",1,2
"seq80",0,1
"seq800",0,1
"seq801",0,1
"seq802",0,1
"seq803",0,1
"seq804",0,1
"seq805",0,1
"seq806",0,5
"seq807",0,1
"seq808",0,1
"seq809",0,1
"seq81",0,1
"seq810",0,1
"seq811",0,1
"seq812",0,1
"seq813",0,1
"seq814",0,1
"seq815",0,1
"seq816",0,1
"seq817",0,3
"seq818",0,2
"seq819",0,1
"seq82",0,1
"seq820",0,1
"seq821",0,1
"seq822",0,1
"seq823",0,1
"seq824",0,1
"seq825",0,1
"seq826",0,2
"seq827",0,1
"seq828",0,1
"seq829",0,1
"seq83",0,8
"seq830",0,1
"seq831",0,1
"seq832",0,1
"seq833",0,1
"seq834",0,2
"seq835",0,1
"seq836",0,1
"seq837",0,1
"seq838",0,1
"seq839",0,1
"seq84",0,1
"seq840",0,1
"seq841",0,1
"seq842",0,1
"seq843",0,1
"seq844",0,1
"seq845",0,1
"seq846",0,1
"seq847",0,1
"seq848",0,2
"seq849",0,1
"seq85",0,1
"seq850",0,1
"seq851",0,1
"seq852",0,1
"seq853",0,1
"seq854",0,1
"seq855",0,2
"seq856",0,1
"seq857",0,2
"seq858",0,1
"seq859",0,1
"seq86",0,2
"seq860",0,1
"seq861",0,1
"seq862",0,1
"seq863",0,1
"seq864",0,1
"seq865",0,1
"seq866",0,1
"seq867",0,1
"seq868",0,1
"seq869",0,1
"seq87",0,1
"seq870",0,1
"seq871",0,2
"seq872",0,1
"seq873",0,1
"seq874",0,1
"seq875",0,1
"seq876",0,1
"seq877",0,1
"seq878",0,2
"seq879",0,1
"seq88",0,1
"seq880",0,2
"seq881",0,1
"seq882",0,1
"seq883",0,1
"seq884",0,1
"seq885",0,1
"seq886",0,1
"seq887",0,5
"seq888",0,1
"seq889",0,1
"seq89",0,1
"seq890",0,1
"seq891",0,1
"seq892",0,1
"seq893",0,1
"seq894",0,1
"seq895",0,1
"seq896",0,3
"seq897",0,4
"seq898",0,7
"seq899",0,1
"seq9",1,0
"seq90",0,8
"seq900",0,2
"seq901",0,1
"seq902",0,1
"seq903",0,1
"seq904",0,1
"seq905",0,1
"seq906",0,1
"seq907",0,2
"seq908",0,1
"seq909",0,1
"seq91",0,3
"seq910",0,1
"seq911",0,2
"seq912",0,2
"seq913",0,10
"seq914",0,1
"seq915",0,1
"seq916",0,1
"seq917",0,1
"seq918",0,1
"seq919",0,1
"seq92",0,1
"seq920",0,1
"seq921",0,5
"seq922",0,1
"seq923",0,6
"seq924",0,19
"seq925",0,1
"seq926",0,52
"seq927",0,9
"seq928",0,338
"seq929",0,15
"seq93",0,4
"seq930",0,1
"seq931",0,1
"seq932",0,453
"seq933",0,1
"seq934",0,2
"seq935",0,1
"seq936",0,45
"seq937",0,2
"seq938",0,6
"seq939",0,9
"seq94",0,1
"seq940",0,5
"seq941",0,1
"seq942",0,1
"seq943",0,3
"seq944",0,5
"seq945",0,10
"seq946",0,1
"seq947",0,1
"seq948",0,82
"seq949",0,1
"seq95",0,1
"seq950",0,1
"seq951",0,3
"seq952",0,3
"seq953",0,1
"seq954",0,1
"seq955",0,2
"seq956",0,2
"seq957",0,15
"seq958",0,1
"seq959",0,121
"seq96",0,1
"seq960",0,1
"seq961",0,1
"seq962",0,1
"seq963",0,2
"seq964",0,6
"seq965",0,1
"seq966",0,2
"seq967",0,23
"seq968",0,1
"seq969",0,1
"seq97",0,1
"seq970",0,1
"seq971",0,1
"seq972",0,1
"seq973",0,1
"seq974",0,2
"seq975",0,1
"seq976",0,6
"seq977",0,2
"seq978",0,1
"seq979",0,25
"seq98",0,1
"seq980",0,1
"seq981",0,1
"seq982",0,26
"seq983",0,1
"seq984",0,1
"seq985",0,1
"seq986",0,1
"seq987",0,1
"seq988",0,1
"seq989",0,1
"seq99",0,1
"seq990",0,6
"seq991",0,8
"seq992",0,1
"seq993",0,1
"seq994",0,1
"seq995",0,5
"seq996",0,7
"seq997",0,1
"seq998",0,2
"seq999",0,13
