"seq_unique","PCs","NA"
"seq1623",0,2
"seq1624",0,3
"seq1625",0,1
"seq1626",0,1
"seq1627",0,1
"seq1628",0,1
"seq1629",0,1
"seq163",0,1
"seq1630",0,1
"seq1631",0,1
"seq1632",0,1
"seq1633",0,1
"seq1634",0,1
"seq1635",0,1
"seq1636",0,1
"seq1637",0,1
"seq1638",0,1
"seq1639",0,1
"seq164",0,1
"seq1640",0,1
"seq1641",0,1
"seq1642",0,3
"seq1643",0,1
"seq1644",0,1
"seq1645",0,1
"seq1646",0,1
"seq1647",0,4
"seq1648",0,1
"seq1649",0,1
"seq165",0,1
"seq1650",0,1
"seq1651",0,1
"seq1652",0,1
"seq1653",0,2
"seq1654",0,2
"seq1655",0,1
"seq1656",0,3
"seq1657",0,1
"seq1658",0,3
"seq1659",0,1
"seq166",0,1
"seq1660",0,1
"seq1661",0,1
"seq1662",0,1
"seq1663",0,1
"seq1664",0,1
"seq1665",0,1
"seq1666",0,1
"seq1667",0,1
"seq1668",0,2
"seq1669",0,1
"seq167",0,1
"seq1670",0,1
"seq1671",0,1
"seq1672",0,2
"seq1673",0,1
"seq1674",0,1
"seq1675",0,1
"seq1676",0,1
"seq1677",0,1
"seq1678",0,1
"seq1679",0,1
"seq168",0,1
"seq1680",0,1
"seq1681",0,1
"seq1682",0,1
"seq1683",0,1
"seq1684",0,1
"seq1685",0,1
"seq1686",0,1
"seq1687",0,1
"seq1688",0,1
"seq1689",0,1
"seq169",0,2
"seq1690",0,1
"seq1691",0,1
"seq1692",0,1
"seq1693",0,1
"seq1694",0,1
"seq1695",0,1
"seq1696",0,1
"seq1697",0,3
"seq1698",0,1
"seq1699",0,1
"seq17",1,0
"seq170",0,1
"seq1700",0,1
"seq1701",0,1
"seq1702",0,1
"seq1703",0,1
"seq1704",0,1
"seq1705",0,1
"seq1706",0,1
"seq1707",0,1
"seq1708",0,1
"seq1709",0,1
"seq171",0,1
"seq1710",0,1
"seq1711",0,1
"seq1712",0,1
"seq1713",0,1
"seq1714",0,1
"seq1715",0,1
"seq1716",0,1
"seq1717",0,1
"seq1718",0,1
"seq1719",0,1
"seq172",0,1
"seq1720",0,2
"seq1721",0,1
"seq1722",0,1
"seq1723",0,1
"seq1724",0,1
"seq1725",0,2
"seq1726",0,1
"seq1727",0,1
"seq1728",0,4
"seq1729",0,1
"seq173",0,1
"seq1730",0,1
"seq1731",0,1
"seq1732",0,1
"seq1733",0,3
"seq1734",0,1
"seq1735",0,1
"seq1736",0,1
"seq1737",0,1
"seq1738",0,1
"seq1739",0,1
"seq174",0,1
"seq1740",0,1
"seq1741",0,1
"seq1742",0,2
"seq1743",0,1
"seq1744",0,2
"seq1745",0,1
"seq1746",0,1
"seq1747",0,1
"seq1748",0,1
"seq1749",0,1
"seq175",0,1
"seq1750",0,1
"seq1751",0,2
"seq1752",0,1
"seq1753",0,1
"seq1754",0,1
"seq1755",0,1
"seq1756",0,1
"seq1757",0,1
"seq1758",0,1
"seq1759",0,1
"seq176",0,1
"seq1760",0,1
"seq1761",0,1
"seq1762",0,1
"seq1763",0,1
"seq1764",0,1
"seq1765",0,1
"seq1766",0,1
"seq1767",0,1
"seq1768",0,2
"seq1769",0,1
"seq177",0,1
"seq1770",0,1
"seq1771",0,1
"seq1772",0,1
"seq1773",0,1
"seq1774",0,1
"seq1775",0,1
"seq1776",0,1
"seq1777",0,1
"seq1778",0,1
"seq1779",0,1
"seq178",0,1
"seq1780",0,1
"seq1781",0,1
"seq1782",0,1
"seq1783",0,1
"seq1784",0,1
"seq1785",0,1
"seq1786",0,1
"seq1787",0,1
"seq1788",0,1
"seq1789",0,4
"seq179",0,3
"seq1790",0,1
"seq1791",0,2
"seq1792",0,1
"seq1793",0,1
"seq1794",0,4
"seq1795",0,1
"seq1796",0,1
"seq1797",0,1
"seq1798",0,1
"seq1799",0,1
"seq18",1,0
"seq180",0,9
"seq1800",0,1
"seq1801",0,1
"seq1802",0,1
"seq1803",0,1
"seq1804",0,1
"seq1805",0,1
"seq1806",0,1
"seq1807",0,1
"seq1808",0,1
"seq1809",0,1
"seq181",0,1
"seq1810",0,1
"seq1811",0,2
"seq1812",0,1
"seq1813",0,1
"seq1814",0,1
"seq1815",0,1
"seq1816",0,1
"seq1817",0,1
"seq1818",0,1
"seq1819",0,1
"seq182",0,1
"seq1820",0,1
"seq1821",0,1
"seq1822",0,1
"seq1823",0,1
"seq1824",0,1
"seq1825",0,1
"seq1826",0,1
"seq1827",0,1
"seq1828",0,1
"seq1829",0,2
"seq183",0,3
"seq1830",0,1
"seq1831",0,1
"seq1832",0,1
"seq1833",0,3
"seq1834",0,1
"seq1835",0,1
"seq1836",0,1
"seq1837",0,1
"seq1838",0,1
"seq1839",0,1
"seq184",0,1
"seq1840",0,1
"seq1841",0,1
"seq1842",0,1
"seq1843",0,1
"seq1844",0,1
"seq1845",0,1
"seq1846",0,1
"seq1847",0,1
"seq1848",0,1
"seq1849",0,1
"seq185",0,1
"seq1850",0,1
"seq1851",0,1
"seq1852",0,1
"seq1853",0,1
"seq1854",0,1
"seq1855",0,1
"seq1856",0,2
"seq1857",0,1
"seq1858",0,1
"seq1859",0,1
"seq186",0,2
"seq1860",0,1
"seq1861",0,1
"seq1862",0,1
"seq1863",0,1
"seq1864",0,2
"seq1865",0,1
"seq1866",0,1
"seq1867",0,1
"seq1868",0,1
"seq1869",0,1
"seq187",0,1
"seq1870",0,1
"seq1871",0,1
"seq1872",0,2
"seq1873",0,1
"seq1874",0,2
"seq1875",0,1
"seq1876",0,1
"seq1877",0,1
"seq1878",0,1
"seq1879",0,1
"seq188",0,1
"seq1880",0,1
"seq1881",0,1
"seq1882",0,1
"seq1883",0,1
"seq1884",0,1
"seq1885",0,1
"seq1886",0,2
"seq1887",0,1
"seq1888",0,1
"seq1889",0,1
"seq189",0,1
"seq1890",0,1
"seq1891",0,1
"seq1892",0,1
"seq1893",0,1
"seq1894",0,1
"seq1895",0,1
"seq1896",0,1
"seq1897",0,1
"seq1898",0,1
"seq1899",0,1
"seq19",2,30
"seq190",0,1
"seq1900",0,1
"seq1901",0,1
"seq1902",0,1
"seq1903",0,1
"seq1904",0,1
"seq1905",0,1
"seq1906",0,1
"seq1907",0,1
"seq1908",0,1
"seq1909",0,1
"seq191",0,1
"seq1910",0,1
"seq1911",0,1
"seq1912",0,1
"seq1913",0,1
"seq1914",0,1
"seq1915",0,1
"seq1916",0,1
"seq1917",0,2
"seq1918",0,1
"seq1919",0,1
"seq192",0,1
"seq1920",0,1
"seq1921",0,1
"seq1922",0,1
"seq1923",0,1
"seq1924",0,1
"seq1925",0,1
"seq1926",0,1
"seq1927",0,1
"seq1928",0,1
"seq1929",0,1
"seq193",0,2
"seq1930",0,1
"seq1931",0,1
"seq1932",0,1
"seq1933",0,1
"seq1934",0,1
"seq1935",0,1
"seq1936",0,1
"seq1937",0,1
"seq1938",0,1
"seq1939",0,1
"seq194",0,2
"seq1940",0,1
"seq1941",0,1
"seq1942",0,2
"seq1943",0,1
"seq1944",0,1
"seq1945",0,1
"seq1946",0,1
"seq1947",0,1
"seq1948",0,1
"seq1949",0,1
"seq195",0,1
"seq1950",0,1
"seq1951",0,1
"seq1952",0,1
"seq1953",0,1
"seq1954",0,1
"seq1955",0,1
"seq1956",0,2
"seq1957",0,2
"seq1958",0,1
"seq1959",0,2
"seq196",0,1
"seq1960",0,1
"seq1961",0,1
"seq1962",0,1
"seq1963",0,1
"seq1964",0,1
"seq1965",0,1
"seq1966",0,1
"seq1967",0,1
"seq1968",0,2
"seq1969",0,3
"seq197",0,1
"seq1970",0,1
"seq1971",0,1
"seq1972",0,1
"seq1973",0,1
"seq1974",0,1
"seq1975",0,1
"seq1976",0,1
"seq1977",0,1
"seq1978",0,1
"seq1979",0,1
"seq198",0,1
"seq1980",0,1
"seq1981",0,1
"seq1982",0,1
"seq1983",0,2
"seq1984",0,2
"seq1985",0,1
"seq1986",0,1
"seq1987",0,1
"seq1988",0,1
"seq1989",0,1
"seq199",0,1
"seq1990",0,1
"seq1991",0,1
"seq1992",0,1
"seq1993",0,1
"seq1994",0,1
"seq1995",0,1
"seq1996",0,1
"seq1997",0,1
"seq1998",0,1
"seq1999",0,1
"seq2",2,0
"seq20",2,16
"seq200",0,1
"seq2000",0,1
"seq2001",0,1
"seq2002",0,1
"seq2003",0,2
"seq2004",0,1
"seq2005",0,1
"seq2006",0,1
"seq2007",0,1
"seq2008",0,1
"seq2009",0,1
"seq201",0,1
"seq2010",0,1
"seq2011",0,1
"seq2012",0,1
"seq2013",0,1
"seq2014",0,1
"seq2015",0,1
"seq2016",0,1
"seq2017",0,1
"seq2018",0,1
"seq2019",0,1
"seq202",0,1
"seq2020",0,1
"seq2021",0,1
"seq2022",0,1
"seq2023",0,1
"seq2024",0,1
"seq2025",0,1
"seq2026",0,1
"seq2027",0,1
"seq2028",0,1
"seq2029",0,1
"seq203",0,1
"seq2030",0,1
"seq2031",0,1
"seq2032",0,1
"seq2033",0,1
"seq2034",0,1
"seq2035",0,1
