"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1273",5,0,0,0,0
"seq1274",1,0,0,0,0
"seq1275",1,0,0,0,0
"seq1276",1,0,0,0,0
"seq1277",1,0,0,0,0
"seq1278",1,0,0,0,0
"seq1279",1,0,0,0,0
"seq128",2,1,0,0,0
"seq1280",1,0,0,0,0
"seq1281",1,0,0,0,0
"seq1282",3,0,0,0,0
"seq1283",1,0,0,0,0
"seq1284",1,0,0,0,0
"seq1285",1,0,0,0,0
"seq1286",1,0,0,0,0
"seq1287",1,0,0,0,0
"seq1288",1,0,0,0,0
"seq1289",1,0,0,0,0
"seq129",2,0,0,0,0
"seq1290",1,0,0,0,0
"seq1291",1,0,0,0,0
"seq1292",1,0,0,0,0
"seq1293",1,0,0,0,0
"seq1294",3,0,0,0,0
"seq1295",1,0,0,0,0
"seq1296",1,0,0,0,0
"seq1297",5,0,0,0,0
"seq1298",1,0,0,0,0
"seq1299",1,0,0,0,0
"seq13",1,0,0,0,0
"seq130",5,0,0,0,0
"seq1300",1,0,0,0,0
"seq1301",1,0,0,0,0
"seq1302",8,0,0,0,0
"seq1303",1,0,0,0,0
"seq1304",1,0,0,0,0
"seq1305",1,0,0,0,0
"seq1306",2,0,0,0,0
"seq1307",1,0,0,0,0
"seq1308",1,0,0,0,0
"seq1309",2,0,0,0,0
"seq131",1,0,0,0,0
"seq1310",1,0,0,0,0
"seq1311",1,0,0,0,0
"seq1312",1,0,0,0,0
"seq1313",1,0,0,0,0
"seq1314",1,0,0,0,0
"seq1315",1,0,0,0,0
"seq1316",6,0,0,0,0
"seq1317",3,0,0,0,0
"seq1318",5,0,0,0,0
"seq1319",2,0,0,0,0
"seq132",0,1,0,0,0
"seq1320",1,0,0,0,0
"seq1321",11,0,0,0,0
"seq1322",1,0,0,0,0
"seq1323",2,0,0,0,0
"seq1324",1,0,0,0,0
"seq1325",1,0,0,0,0
"seq1326",1,0,0,0,0
"seq1327",1,0,0,0,0
"seq1328",1,0,0,0,0
"seq1329",1,0,0,0,0
"seq133",1,0,0,0,0
"seq1330",1,0,0,0,0
"seq1331",1,0,0,0,0
"seq1332",1,0,0,0,0
"seq1333",2,0,0,0,0
"seq1334",2,0,0,0,0
"seq1335",1,0,0,0,0
"seq1336",1,0,0,0,0
"seq1337",1,0,0,0,0
"seq1338",1,0,0,0,0
"seq1339",1,0,0,0,0
"seq134",1,0,0,0,0
"seq1340",2,0,0,0,0
"seq1341",1,0,0,0,0
"seq1342",1,0,0,0,0
"seq1343",1,0,0,0,0
"seq1344",1,0,0,0,0
"seq1345",1,0,0,0,0
"seq1346",2,0,0,0,0
"seq1347",1,0,0,0,0
"seq1348",1,0,0,0,0
"seq1349",1,0,0,0,0
"seq135",1,0,0,0,0
"seq1350",3,0,0,0,0
"seq1351",1,0,0,0,0
"seq1352",3,0,0,0,0
"seq1353",1,0,0,0,0
"seq1354",1,0,0,0,0
"seq1355",1,0,0,0,0
"seq1356",1,0,0,0,0
"seq1357",1,0,0,0,0
"seq1358",8,0,0,0,0
"seq1359",0,0,1,0,0
"seq136",1,0,0,0,0
"seq1360",1,0,0,0,0
"seq1361",1,0,0,0,0
"seq1362",1,0,0,0,0
"seq1363",1,0,0,0,0
"seq1364",1,0,0,0,0
"seq1365",1,0,0,0,0
"seq1366",1,0,0,0,0
"seq1367",1,0,0,0,0
"seq1368",1,0,0,0,0
"seq1369",1,0,0,0,0
"seq137",3,0,0,0,0
"seq1370",2,0,0,0,0
"seq1371",1,0,0,0,0
"seq1372",4,0,0,0,0
"seq1373",1,0,0,0,0
"seq1374",1,0,0,0,0
"seq1375",1,0,0,0,0
"seq1376",1,0,0,0,0
"seq1377",1,0,0,0,0
"seq1378",3,0,0,0,0
"seq1379",1,0,0,0,0
"seq138",1,0,0,0,0
"seq1380",1,0,0,0,0
"seq1381",2,0,0,0,0
"seq1382",7,0,0,0,0
"seq1383",1,0,0,0,0
"seq1384",1,0,0,0,0
"seq1385",1,0,0,0,0
"seq1386",1,0,0,0,0
"seq1387",1,0,0,0,0
"seq1388",1,0,0,0,0
"seq1389",1,0,0,0,0
"seq139",1,0,0,0,0
"seq1390",2,0,0,0,0
"seq1391",1,0,0,0,0
"seq1392",1,0,0,0,0
"seq1393",1,0,0,0,0
"seq1394",1,0,0,0,0
"seq1395",1,0,0,0,0
"seq1396",1,0,0,0,0
"seq1397",1,0,0,0,0
"seq1398",10,0,0,0,0
"seq1399",1,0,0,0,0
"seq14",1,0,0,0,0
"seq140",1,0,0,0,0
"seq1400",5,0,0,0,0
"seq1401",1,0,0,0,0
"seq1402",1,0,0,0,0
"seq1403",1,0,0,0,0
"seq1404",1,0,0,0,0
"seq1405",4,0,0,0,0
"seq1406",2,0,0,0,0
"seq1407",3,0,0,0,0
"seq1408",1,0,0,0,0
"seq1409",1,0,0,0,0
"seq141",1,0,0,0,0
"seq1410",1,0,0,0,0
"seq1411",1,0,0,0,0
"seq1412",1,0,0,0,0
"seq1413",1,0,0,0,0
"seq1414",1,0,0,0,0
"seq1415",1,0,0,0,0
"seq1416",1,0,0,0,0
"seq1417",1,0,0,0,0
"seq1418",1,0,0,0,0
"seq1419",1,0,0,0,0
"seq142",1,0,0,0,0
"seq1420",1,0,0,0,0
"seq1421",1,0,0,0,0
"seq1422",2,0,0,0,0
"seq1423",2,0,0,0,0
"seq1424",1,0,0,0,0
"seq1425",1,0,0,0,0
"seq1426",1,0,0,0,0
"seq1427",1,0,0,0,0
"seq1428",2,0,0,0,0
"seq1429",8,0,0,0,0
"seq143",1,0,0,0,0
"seq1430",1,0,0,0,0
"seq1431",3,0,0,0,0
"seq1432",2,0,0,0,0
"seq1433",1,0,0,0,0
"seq1434",1,0,0,0,0
"seq1435",1,0,0,0,0
"seq1436",1,0,0,0,0
"seq1437",5,0,0,0,0
