"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1144",3,0,0,0,0,0,0,0,0,0
"seq1145",1,0,0,0,0,0,0,0,0,0
"seq1146",1,0,0,0,0,0,0,0,0,0
"seq1147",1,0,0,0,0,0,0,0,0,0
"seq1148",1,0,0,0,0,0,0,0,0,0
"seq1149",1,0,0,0,0,0,0,0,0,0
"seq115",1,0,0,0,0,0,0,0,0,0
"seq1150",1,0,0,0,0,0,0,0,0,0
"seq1151",15,0,0,0,0,0,0,0,0,0
"seq1152",6,0,0,0,0,0,0,0,0,0
"seq1153",1,0,0,0,0,0,0,0,0,0
"seq1154",6,0,0,0,0,0,0,0,0,0
"seq1155",1,0,0,0,0,0,0,0,0,0
"seq1156",1,0,0,0,0,0,0,0,0,0
"seq1157",1,0,0,0,0,0,0,0,0,0
"seq1158",1,0,0,0,0,0,0,0,0,0
"seq1159",1,0,0,0,0,0,0,0,0,0
"seq116",0,0,0,0,0,0,1,0,0,0
"seq1160",1,0,0,0,0,0,0,0,0,0
"seq1161",3,0,0,0,0,0,0,0,0,0
"seq1162",12,0,0,0,0,0,1,0,0,0
"seq1163",1,0,0,0,0,0,0,0,0,0
"seq1164",3,0,0,0,0,0,0,0,0,0
"seq1165",5,0,0,0,0,0,0,0,0,0
"seq1166",3,0,0,0,0,0,0,0,0,0
"seq1167",2,0,0,0,0,0,0,0,0,0
"seq1168",1,0,0,0,0,0,0,0,0,0
"seq1169",1,0,0,0,0,0,0,0,0,0
"seq117",1,0,0,0,0,0,0,0,0,0
"seq1170",1,0,0,0,0,0,0,0,0,0
"seq1171",3,0,0,0,0,0,0,0,0,0
"seq1172",1,0,0,0,0,0,0,0,0,0
"seq1173",1,0,0,0,0,0,0,0,0,0
"seq1174",1,0,0,0,0,0,0,0,0,0
"seq1175",1,0,0,0,0,0,0,0,0,0
"seq1176",1,0,0,0,0,0,1,0,0,0
"seq1177",1,0,0,0,0,0,0,0,0,0
"seq1178",1,0,0,0,0,0,0,0,0,0
"seq1179",2,0,0,0,0,0,0,0,0,0
"seq118",0,0,0,0,0,1,0,0,0,0
"seq1180",1,0,0,0,0,0,0,0,0,0
"seq1181",6,0,0,0,0,0,0,0,0,0
"seq1182",1,0,0,0,0,0,0,0,0,0
"seq1183",1,0,0,0,0,0,0,0,0,0
"seq1184",7,0,0,0,0,0,0,0,0,0
"seq1185",1,0,0,0,0,0,0,0,0,0
"seq1186",1,0,0,0,0,0,0,0,0,0
"seq1187",2,0,0,0,0,0,0,0,0,0
"seq1188",1,0,0,0,0,0,0,0,0,0
"seq1189",3,0,0,0,0,0,0,0,0,0
"seq119",2,0,0,0,0,0,0,0,0,0
"seq1190",1,0,0,0,0,0,0,0,0,0
"seq1191",1,0,0,0,0,0,0,0,0,0
"seq1192",24,0,0,0,0,1,1,0,0,0
"seq1193",2,0,0,0,0,0,0,0,0,0
"seq1194",10,0,0,0,0,0,1,0,0,0
"seq1195",1,0,0,0,0,0,0,0,0,0
"seq1196",3,0,0,0,0,0,0,0,0,0
"seq1197",1,0,0,0,0,0,0,0,0,0
"seq1198",11,0,0,0,0,0,1,0,0,0
"seq1199",1,0,0,0,0,0,0,0,0,0
"seq12",0,1,0,0,0,0,0,0,0,0
"seq120",1,0,0,0,0,0,0,0,0,0
"seq1200",1,0,0,0,0,0,0,0,0,0
"seq1201",1,0,0,0,0,0,0,0,0,0
"seq1202",1,0,0,0,0,0,0,0,0,0
"seq1203",1,0,0,0,0,0,0,0,0,0
"seq1204",1,0,0,0,0,0,0,0,0,0
"seq1205",1,0,0,0,0,0,0,0,0,0
"seq1206",1,0,0,0,0,0,0,0,0,0
"seq1207",2,0,0,0,0,0,0,0,0,0
"seq1208",1,0,0,0,0,0,0,0,0,0
"seq1209",1,0,0,0,0,0,0,0,0,0
"seq121",1,0,0,0,0,0,0,0,0,0
"seq1210",1,0,0,0,0,0,0,0,0,0
"seq1211",2,0,0,0,0,0,0,0,0,0
"seq1212",14,0,0,0,0,0,0,0,0,0
"seq1213",3,0,0,0,0,0,0,0,0,0
"seq1214",1,0,0,0,0,0,0,0,0,0
"seq1215",1,0,0,0,0,0,0,0,0,0
"seq1216",1,0,0,0,0,0,0,0,0,0
"seq1217",1,0,0,0,0,0,0,0,0,0
"seq1218",1,0,0,0,0,0,0,0,0,0
"seq1219",1,0,0,0,0,0,0,0,0,0
"seq122",1,0,0,0,0,0,0,0,0,0
"seq1220",1,0,0,0,0,0,0,0,0,0
"seq1221",1,0,0,0,0,0,0,0,0,0
"seq1222",3,0,0,0,0,0,0,0,0,0
"seq1223",1,0,0,0,0,0,0,0,0,0
"seq1224",1,0,0,0,0,0,0,0,0,0
"seq1225",2,0,0,0,0,0,0,0,0,0
"seq1226",3,0,0,0,0,0,0,0,0,0
"seq1227",3,0,0,0,0,0,0,0,0,0
"seq1228",1,0,0,0,0,0,0,0,0,0
"seq1229",10,0,0,0,0,0,0,0,0,0
"seq123",1,0,0,0,0,0,0,0,0,0
"seq1230",1,0,0,0,0,0,0,0,0,0
"seq1231",3,0,0,0,0,0,0,0,0,0
"seq1232",1,0,0,0,0,0,0,0,0,0
"seq1233",1,0,0,0,0,0,0,0,0,0
"seq1234",1,0,0,0,0,0,0,0,0,0
"seq1235",1,0,0,0,0,0,0,0,0,0
"seq1236",0,0,0,0,0,0,1,0,0,0
"seq1237",1,0,0,0,0,0,0,0,0,0
"seq1238",1,0,0,0,0,0,0,0,0,0
"seq1239",1,0,0,0,0,0,0,0,0,0
"seq124",5,0,0,0,0,0,0,0,0,0
"seq1240",1,0,0,0,0,0,0,0,0,0
"seq1241",1,0,0,0,0,0,0,0,0,0
"seq1242",6,0,0,0,0,0,0,0,0,0
"seq1243",1,0,0,0,0,0,0,0,0,0
"seq1244",2,0,0,0,0,0,0,0,0,0
"seq1245",2,0,0,0,0,0,0,0,0,0
"seq1246",1,0,0,0,0,0,0,0,0,0
"seq1247",2,0,0,0,0,0,0,0,0,0
"seq1248",6,0,0,0,0,0,0,0,0,0
"seq1249",2,0,0,0,0,0,0,0,0,0
"seq125",0,0,0,0,0,3,0,0,0,0
"seq1250",1,0,0,0,0,0,0,0,0,0
